,Tweets
0,Happy anniversary IDNFT!! Sampai jumpa sebentar lagi jam (hampir) 5 sore yaa kita cerita-cerita lagi tentang my Mys… https://t.co/p9WZXtN3nu
1,Besok bakal ikut memeriahkan panggung DeadSquad di LAKE STAGE @SynchronizeFest jam 21.40! Merapaat yaa bagi yang ak… https://t.co/CPmHxA1RNI
2,Ini artinya good night 🙃🙃
3,GN!! 🌝
4,"Here it is! My first my Mystery NFT AMA 🖤

Aku bakal sharing dan cerita tentang project ini di Discord ku jam 8 mal… https://t.co/Gr3Oh0p1Ui"
5,"Hi guys, I’m so excited to announce my first NFT project that i’ve been working on, my Mystery NFT Collection ✨

Fi… https://t.co/4fwnuf1Wxt"
6,"Biar seru, aku sambil bagi-bagi hadiah kali ya malem ini?? 🐣🌈✨"
7,"Udah lama aku ga main di discord, besok main yuk guys jam 9:30 malem yaa seperti biasa! 

Discord Link:… https://t.co/OdVi30jVsb"
8,"Morning, semangat ya 👀 https://t.co/QENefLZxrM"
9,Eh eh miring https://t.co/jCE5CMB4q5
10,Maaacii 🥺🌈 https://t.co/MNoOCK01cF
11,RT @Jvanz507: Isyana sihh Gokillll Di PestaPora @isyanasarasvati https://t.co/s2QaYV64RB
12,PESTAPORA PECYAAH! Senang sekali bisa terus memperkenalkan karya-karya terbaru aku dari panggung ke panggung. Pelan… https://t.co/X048z4sElD
13,Weekend ini kita ketemu dimana guyyss? 🤭
14,I feel like I’m in love again. Congrats tedd! 🤍 https://t.co/JPPJa1mjar
15,"Jakarta, how I’ve missed you! Akhirnya sampe jugaa, gasabar pijeeet!"
16,Still in awe from Serena Williams @balenciaga look for Vogue World. Such an inspiration she’s a true GOAT! ♥️ https://t.co/Ubbn4BWPB0
17,Happy 130th birthday Vogue! Thank you so much for having me! Wow what a way to wrap up NYFW keren piuuu 🤍… https://t.co/uCguAlEEiT
18,Back in NY at last! Can’t wait to do everything here
19,Thank you so much buat yang udah ikutan tadi malem! Seru banget bisa ngobrol santai bareng kalian. See you next tim… https://t.co/ZC0cuBuqs5
20,"Guyss malem ini, aku mau Live di Discord jam 9 malem aah. Ngobrol2 santai aja si, sampai ketemu nanti ya!
Discord:… https://t.co/k3LyuVnO5s"
21,"Join ya guys! Kubuat untuk para Isyanation 🥳♥️
Bakal announce banyak update tentang next project Inyong disana juga. Stay tuned!"
22,"Hey guys, akhirnya! It's finally live!

Discord: https://t.co/JI2rpUxtYD https://t.co/CJpeajHMCv"
23,Seru banget I’m impressed! Lagi kali ya next year? 🥳
24,I think it’ll be so interesting to see the future of music industry with this new technological infrastructure
25,"Ngobrol bareng @brandonsalim @TzApac @scholarznft dan banyak-banyak mencuri ilmu 
tentang web3 dan trend NFT kedepa… https://t.co/jhsxTq2fVx"
26,"Jadi minggu lalu inyong mendadak jadi panelist. Dan ini buktinya hahaaha, seru banget sih di @CoinfestAsia https://t.co/Tx6ZNsjcpp"
27,Coinfest Asia 2022!!
28,"RT @chaind27: The way I see it, when a she is in front of a crowd, the energy goes both directions, right? She herself is obviously exposed…"
29,"RT @gamaliel: god save the queen 🌹👑
@isyanasarasvati https://t.co/19sjEY7jM0"
30,Masih belum bisa move on dari panggung Simfoni Untuk Bangsa ❤️ https://t.co/kOCRO9Cfc1
31,"Helloo guys, besok aku bakal hadir di acara Coinfest Bali! So excited semoga ketemu banyak dari kalian, dan bisa ce… https://t.co/sasmPyQpnv"
32,RT @handokotjung: Cakep banget ini iklan @DisneyPlusID yang baru. Keren konsep musikalnya dan asik gimana bentuk 'plus' di logonya bisa jad…
33,"RT @hmxnft: Hey, #Isyanation! Be the first to know more about Isyana’s NFT, my Mystery!

Let's talk about the NFT and more! And who knows,…"
