,tanggal_tweet,pengguna,Tweet,sentimen
0,2022-10-31 03:37:39+00:00,dms_ambon,"#NowPlaying Sekali Lagi - @isyanasarasvati @SonyMusicID  
#Indonesiaku @dms_ambon",0
1,2022-10-30 22:17:51+00:00,cindy_kuncoro,woowww selalu takjublaah https://t.co/O3xV0NDdLZ,0
2,2022-10-30 16:20:35+00:00,avandabc,keren bgt sih ah blm bisa move on @isyanasarasvati https://t.co/gcx02PmOR9,0
3,2022-10-30 13:01:42+00:00,saidmzaki,RT @infoPKU: Hallo Ncik dan Puan Pekanbaru semuanya. Udah siap seru-seruan bareng di Konser #CollabonationTour Pekanbaru bareng @isyanasara…,0
4,2022-10-30 12:20:09+00:00,infoPKU,Hallo Ncik dan Puan Pekanbaru semuanya. Udah siap seru-seruan bareng di Konser #CollabonationTour Pekanbaru bareng… https://t.co/nGY68ZG7t9,0
5,2022-10-30 04:56:29+00:00,PemudaBer1man,mba @isyanasarasvati sampean keren bgt,0
6,2022-10-30 04:33:18+00:00,dionisaurusrex,Sama-sama Mba @isyanasarasvati https://t.co/xxXDvub3Az,0
7,2022-10-30 02:30:57+00:00,nistiakuki,"RT @indosatim3: #CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang bersama @i…",0
8,2022-10-29 14:47:17+00:00,bangyoll,@_Wendywalters Sekilas kek @isyanasarasvati,0
9,2022-10-29 12:58:55+00:00,RioIndiratama,"RT @nftkompas: Terima kasih untuk para narasumber, @dvrnt @ignharyanto @RioIndiratama yang sudah berbagi sudut pandang tentang NFT, jurnali…",0
10,2022-10-29 12:53:41+00:00,nftkompas,"Terima kasih untuk para narasumber, @dvrnt @ignharyanto @RioIndiratama yang sudah berbagi sudut pandang tentang NFT… https://t.co/QSfDRTB8C8",0
11,2022-10-29 11:06:10+00:00,hariankompas,NFT dapat berperan sebagai media oleh Creator untuk menyampaikan ide dan pengembangan dari media yang sudah biasa d… https://t.co/nP1oVgk9ZQ,0
