;Tweet;sentimen;step01;tokens;final_tokens;step02
0;"#NowPlaying Sekali Lagi - @isyanasarasvati @SonyMusicID  
#Indonesiaku @dms_ambon";0;hashtag now playing hashtag sekali lagi user user hashtag indonesiaku hashtag user;['hashtag', 'now', 'playing', 'hashtag', 'sekali', 'lagi', 'user', 'user', 'hashtag', 'indonesiaku', 'hashtag', 'user'];['hashtag', 'now', 'playing', 'hashtag', 'sekali', 'lagi', 'user', 'user', 'hashtag', 'indonesiaku', 'hashtag', 'user'];hashtag now playing hashtag sekali lagi user user hashtag indonesiaku hashtag user
1;woowww selalu takjublaah https://t.co/O3xV0NDdLZ;0;woowww selalu takjublaah coo3xv0nddlz;['woowww', 'selalu', 'takjublaah', 'coo3xv0nddlz'];['woowww', 'selalu', 'takjublaah', 'coo3xv0nddlz'];woowww selalu takjublaah coo3xv0nddlz
2;keren bgt sih ah blm bisa move on @isyanasarasvati https://t.co/gcx02PmOR9;0;keren bgt sih ah blm bisa move on user cogcx02pmor9;['keren', 'bgt', 'sih', 'ah', 'blm', 'bisa', 'move', 'on', 'user', 'cogcx02pmor9'];['keren', 'banget', 'sih', 'ah', 'belum', 'bisa', 'move', 'on', 'user', 'cogcx02pmor9'];keren banget sih ah belum bisa move on user cogcx02pmor9
3;RT @infoPKU: Hallo Ncik dan Puan Pekanbaru semuanya. Udah siap seru-seruan bareng di Konser #CollabonationTour Pekanbaru bareng @isyanasara…;0;rt user hallo ncik dan puan pekanbaru semuanya udah siap seru seruan bareng di konser hashtag collabonation tour hashtag pekanbaru bareng user;['rt', 'user', 'hallo', 'ncik', 'dan', 'puan', 'pekanbaru', 'semuanya', 'udah', 'siap', 'seru', 'seruan', 'bareng', 'di', 'konser', 'hashtag', 'collabonation', 'tour', 'hashtag', 'pekanbaru', 'bareng', 'user'];['rt', 'user', 'hallo', 'ncik', 'dan', 'puan', 'pekanbaru', 'semuanya', 'sudah', 'siap', 'seru', 'seruan', 'bareng', 'di', 'konser', 'hashtag', 'collabonation', 'tour', 'hashtag', 'pekanbaru', 'bareng', 'user'];rt user hallo ncik dan puan pekanbaru semuanya sudah siap seru seruan bareng di konser hashtag collabonation tour hashtag pekanbaru bareng user
4;Hallo Ncik dan Puan Pekanbaru semuanya. Udah siap seru-seruan bareng di Konser #CollabonationTour Pekanbaru bareng… https://t.co/nGY68ZG7t9;0;hallo ncik dan puan pekanbaru semuanya udah siap seru seruan bareng di konser hashtag collabonation tour hashtag pekanbaru bareng congy68zg7t9;['hallo', 'ncik', 'dan', 'puan', 'pekanbaru', 'semuanya', 'udah', 'siap', 'seru', 'seruan', 'bareng', 'di', 'konser', 'hashtag', 'collabonation', 'tour', 'hashtag', 'pekanbaru', 'bareng', 'congy68zg7t9'];['hallo', 'ncik', 'dan', 'puan', 'pekanbaru', 'semuanya', 'sudah', 'siap', 'seru', 'seruan', 'bareng', 'di', 'konser', 'hashtag', 'collabonation', 'tour', 'hashtag', 'pekanbaru', 'bareng', 'congy68zg7t9'];hallo ncik dan puan pekanbaru semuanya sudah siap seru seruan bareng di konser hashtag collabonation tour hashtag pekanbaru bareng congy68zg7t9
5;mba @isyanasarasvati sampean keren bgt;0;mba user sampean keren bgt;['mba', 'user', 'sampean', 'keren', 'bgt'];['mbak', 'user', 'sampean', 'keren', 'banget'];mbak user sampean keren banget
6;Sama-sama Mba @isyanasarasvati https://t.co/xxXDvub3Az;0;sama sama mba user coxxxdvub3az;['sama', 'sama', 'mba', 'user', 'coxxxdvub3az'];['sama', 'sama', 'mbak', 'user', 'coxxxdvub3az'];sama sama mbak user coxxxdvub3az
7;"RT @indosatim3: #CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang bersama @i…";0;rt user hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang bersama user;['rt', 'user', 'hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'bersama', 'user'];['rt', 'user', 'hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'bersama', 'user'];rt user hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang bersama user
8;@_Wendywalters Sekilas kek @isyanasarasvati;0;user sekilas kek user;['user', 'sekilas', 'kek', 'user'];['user', 'sekilas', 'kayak', 'user'];user sekilas kayak user
9;RT @nftkompas: Terima kasih untuk para narasumber, @dvrnt @ignharyanto @RioIndiratama yang sudah berbagi sudut pandang tentang NFT, jurnali…;0;rt user terima kasih untuk para narasumber user user user yang sudah berbagi sudut pandang tentang nft jurnali;['rt', 'user', 'terima', 'kasih', 'untuk', 'para', 'narasumber', 'user', 'user', 'user', 'yang', 'sudah', 'berbagi', 'sudut', 'pandang', 'tentang', 'nft', 'jurnali'];['rt', 'user', 'terima', 'kasih', 'untuk', 'para', 'narasumber', 'user', 'user', 'user', 'yang', 'sudah', 'berbagi', 'sudut', 'pandang', 'tentang', 'nft', 'jurnali'];rt user terima kasih untuk para narasumber user user user yang sudah berbagi sudut pandang tentang nft jurnali
10;Terima kasih untuk para narasumber, @dvrnt @ignharyanto @RioIndiratama yang sudah berbagi sudut pandang tentang NFT… https://t.co/QSfDRTB8C8;0;terima kasih untuk para narasumber user user user yang sudah berbagi sudut pandang tentang nft coqsfdrtb8c8;['terima', 'kasih', 'untuk', 'para', 'narasumber', 'user', 'user', 'user', 'yang', 'sudah', 'berbagi', 'sudut', 'pandang', 'tentang', 'nft', 'coqsfdrtb8c8'];['terima', 'kasih', 'untuk', 'para', 'narasumber', 'user', 'user', 'user', 'yang', 'sudah', 'berbagi', 'sudut', 'pandang', 'tentang', 'nft', 'coqsfdrtb8c8'];terima kasih untuk para narasumber user user user yang sudah berbagi sudut pandang tentang nft coqsfdrtb8c8
11;NFT dapat berperan sebagai media oleh Creator untuk menyampaikan ide dan pengembangan dari media yang sudah biasa d… https://t.co/nP1oVgk9ZQ;0;nft dapat berperan sebagai media oleh creator untuk menyampaikan ide dan pengembangan dari media yang sudah biasa conp1ovgk9zq;['nft', 'dapat', 'berperan', 'sebagai', 'media', 'oleh', 'creator', 'untuk', 'menyampaikan', 'ide', 'dan', 'pengembangan', 'dari', 'media', 'yang', 'sudah', 'biasa', 'conp1ovgk9zq'];['nft', 'dapat', 'berperan', 'sebagai', 'media', 'oleh', 'creator', 'untuk', 'menyampaikan', 'ide', 'dan', 'pengembangan', 'dari', 'media', 'yang', 'sudah', 'biasa', 'conp1ovgk9zq'];nft dapat berperan sebagai media oleh creator untuk menyampaikan ide dan pengembangan dari media yang sudah biasa conp1ovgk9zq
12;"RT @rrq_guild: MISSION WHITELIST ISYANA?!

Isyanation mana suaranya?!! @isyanasarasvati baru aja release MY MYSTERY NFT Collection guys! Ma…";0;rt user mission whitelist isyana isyanation mana suaranya user baru aja release my mystery nft collection guys ma;['rt', 'user', 'mission', 'whitelist', 'isyana', 'isyanation', 'mana', 'suaranya', 'user', 'baru', 'aja', 'release', 'my', 'mystery', 'nft', 'collection', 'guys', 'ma'];['rt', 'user', 'mission', 'whitelist', 'isyana', 'isyanation', 'mana', 'suaranya', 'user', 'baru', 'saja', 'release', 'my', 'mystery', 'nft', 'collection', 'guys', 'sama'];rt user mission whitelist isyana isyanation mana suaranya user baru saja release my mystery nft collection guys sama
13;"Like &amp; share postingan ini, kasih tau ke Isyanation lainnya 🙌🏻

#PlayWithRRQGuild #GoodGuildWellPaid #RRQGuild… https://t.co/KMW2tXhhnF";0;like share postingan ini kasih tau ke isyanation lainnya hashtag play with rrq guild hashtag hashtag good guild well paid hashtag hashtag rrq guild hashtag cokmw2txhhnf;['like', 'share', 'postingan', 'ini', 'kasih', 'tau', 'ke', 'isyanation', 'lainnya', 'hashtag', 'play', 'with', 'rrq', 'guild', 'hashtag', 'hashtag', 'good', 'guild', 'well', 'paid', 'hashtag', 'hashtag', 'rrq', 'guild', 'hashtag', 'cokmw2txhhnf'];['suka', 'share', 'postingan', 'ini', 'kasih', 'tau', 'ke', 'isyanation', 'lainnya', 'hashtag', 'play', 'with', 'rrq', 'guild', 'hashtag', 'hashtag', 'good', 'guild', 'well', 'paid', 'hashtag', 'hashtag', 'rrq', 'guild', 'hashtag', 'cokmw2txhhnf'];suka share postingan ini kasih tau ke isyanation lainnya hashtag play with rrq guild hashtag hashtag good guild well paid hashtag hashtag rrq guild hashtag cokmw2txhhnf
