,Tweets
0,"Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰… https://t.co/pHUjqtKlTg"
1,🔥🔥🔥 https://t.co/nRLud5qHiZ
2,"RT @SuperlativeSS: 🎁 My Mystery NFT WL Giveaways By @isyanasarasvati 🎁

To join, visit the link below:
https://t.co/REde2sNiW2

Winners are…"
3,"Wow pertama kali live di twitter space dan langsung back-to-back 😂 

Join us yaa jam 19:00 dengan @IDNFT_ daaan jam… https://t.co/mHWUvHs5Dp"
4,"RT @okxweb3: 💫OKX Web3 Special Event with @isyanasarasvati | @hmxnft | @redrose_records 

🔥Isyana Sarasvati my Mystery NFT
✨50 Whitelists #…"
5,"Congratulations on the new website @MindblowonNFT 
It’s so cool, can’t wait to play around and make my own room! Ba… https://t.co/TwOwTP8uUg"
6,"RT @redrose_records: Selamat @isyanasarasvati telah menerima penghargaan untuk my Mystery sebagai Karya Produks
Progressive Terbaik oleh AM…"
7,"Hasil digging, duhh lucu piu SSS 🥺🌈🤍 https://t.co/ibptcIMLmZ"
8,Happy anniversary IDNFT!! Sampai jumpa sebentar lagi jam (hampir) 5 sore yaa kita cerita-cerita lagi tentang my Mys… https://t.co/p9WZXtN3nu
9,Besok bakal ikut memeriahkan panggung DeadSquad di LAKE STAGE @SynchronizeFest jam 21.40! Merapaat yaa bagi yang ak… https://t.co/CPmHxA1RNI
10,Ini artinya good night 🙃🙃
11,GN!! 🌝
12,"Here it is! My first my Mystery NFT AMA 🖤

Aku bakal sharing dan cerita tentang project ini di Discord ku jam 8 mal… https://t.co/Gr3Oh0p1Ui"
13,"Hi guys, I’m so excited to announce my first NFT project that i’ve been working on, my Mystery NFT Collection ✨

Fi… https://t.co/4fwnuf1Wxt"
14,"Biar seru, aku sambil bagi-bagi hadiah kali ya malem ini?? 🐣🌈✨"
15,"Udah lama aku ga main di discord, besok main yuk guys jam 9:30 malem yaa seperti biasa! 

Discord Link:… https://t.co/OdVi30jVsb"
16,"Morning, semangat ya 👀 https://t.co/QENefLZxrM"
17,Eh eh miring https://t.co/jCE5CMB4q5
18,Maaacii 🥺🌈 https://t.co/MNoOCK01cF
19,RT @Jvanz507: Isyana sihh Gokillll Di PestaPora @isyanasarasvati https://t.co/s2QaYV64RB
20,PESTAPORA PECYAAH! Senang sekali bisa terus memperkenalkan karya-karya terbaru aku dari panggung ke panggung. Pelan… https://t.co/X048z4sElD
21,Weekend ini kita ketemu dimana guyyss? 🤭
22,I feel like I’m in love again. Congrats tedd! 🤍 https://t.co/JPPJa1mjar
23,"Jakarta, how I’ve missed you! Akhirnya sampe jugaa, gasabar pijeeet!"
24,Still in awe from Serena Williams @balenciaga look for Vogue World. Such an inspiration she’s a true GOAT! ♥️ https://t.co/Ubbn4BWPB0
25,Happy 130th birthday Vogue! Thank you so much for having me! Wow what a way to wrap up NYFW keren piuuu 🤍… https://t.co/uCguAlEEiT
26,Back in NY at last! Can’t wait to do everything here
27,Thank you so much buat yang udah ikutan tadi malem! Seru banget bisa ngobrol santai bareng kalian. See you next tim… https://t.co/ZC0cuBuqs5
28,"Guyss malem ini, aku mau Live di Discord jam 9 malem aah. Ngobrol2 santai aja si, sampai ketemu nanti ya!
Discord:… https://t.co/k3LyuVnO5s"
29,"Join ya guys! Kubuat untuk para Isyanation 🥳♥️
Bakal announce banyak update tentang next project Inyong disana juga. Stay tuned!"
30,"Hey guys, akhirnya! It's finally live!

Discord: https://t.co/JI2rpUxtYD https://t.co/CJpeajHMCv"
31,Seru banget I’m impressed! Lagi kali ya next year? 🥳
32,I think it’ll be so interesting to see the future of music industry with this new technological infrastructure
